name,rating,genre,score,director,writer,star,runtime
9,PG-13,Animation,7.1,Shane Acker,Pamela Pettler,Elijah Wood,79
21,PG-13,Crime,6.8,Robert Luketic,Peter Steinfeld,Jim Sturgess,123
31,Unrated,Horror,5.1,Rob Zombie,Rob Zombie,Malcolm McDowell,102
42,PG-13,Biography,7.5,Brian Helgeland,Brian Helgeland,Chadwick Boseman,128
54,R,Drama,5.8,Mark Christopher,Mark Christopher,Ryan Phillippe,93
300,R,Action,7.6,Zack Snyder,Zack Snyder,Gerard Butler,117
360,R,Drama,6.2,Fernando Meirelles,Peter Morgan,Rachel Weisz,110
1408,PG-13,Fantasy,6.8,Mikael Håfström,Matt Greenberg,John Cusack,104
1917,R,Drama,8.3,Sam Mendes,Sam Mendes,Dean-Charles Chapman,119
1969,R,Drama,5.8,Ernest Thompson,Ernest Thompson,Robert Downey Jr.,95
1984,R,Drama,7.1,Michael Radford,Michael Radford,John Hurt,113
2012,PG-13,Action,5.8,Roland Emmerich,Roland Emmerich,John Cusack,158
2046,R,Drama,7.4,Kar-Wai Wong,Kar-Wai Wong,Tony Chiu-Wai Leung,129
*batteries not included,PG,Comedy,6.7,Matthew Robbins,Mick Garris,Hume Cronyn,106
[Rec]�,R,Horror,6.5,Jaume Balagueró,Jaume Balagueró,Jonathan D. Mellor,85
10 Cloverfield Lane,PG-13,Action,7.2,Dan Trachtenberg,Josh Campbell,John Goodman,103
10 Things I Hate About You,PG-13,Comedy,7.3,Gil Junger,Karen McCullah,Heath Ledger,97
10 to Midnight,R,Crime,6.3,J. Lee Thompson,William Roberts,Charles Bronson,101
10 Years,PG-13,Comedy,6.1,Jamie Linden,Jamie Linden,Channing Tatum,100
"10,000 BC",PG-13,Action,5.1,Roland Emmerich,Roland Emmerich,Camilla Belle,109
101 Dalmatians,G,Adventure,5.7,Stephen Herek,Dodie Smith,Glenn Close,103
102 Dalmatians,G,Adventure,4.9,Kevin Lima,Dodie Smith,Glenn Close,100
12 Monkeys,R,Mystery,8,Terry Gilliam,Chris Marker,Bruce Willis,129
12 Rounds,PG-13,Action,5.6,Renny Harlin,Daniel Kunka,John Cena,108
12 Strong,R,Action,6.6,Nicolai Fuglsig,Ted Tally,Chris Hemsworth,130
12 Years a Slave,R,Biography,8.1,Steve McQueen,John Ridley,Chiwetel Ejiofor,134
127 Hours,R,Biography,7.5,Danny Boyle,Danny Boyle,James Franco,94
13 Assassins,R,Action,7.6,Takashi Miike,Kaneo Ikegami,Kôji Yakusho,141
13 Going on 30,PG-13,Comedy,6.2,Gary Winick,Josh Goldsmith,Jennifer Garner,98
13 Hours,R,Action,7.3,Michael Bay,Chuck Hogan,John Krasinski,144
